step,ratio makespan
0,1.8822643828384555
5000,1.8242873037743619
10000,1.7542596432830346
15000,1.7110668904434987
20000,1.7103537255979995
25000,1.6580332178043864
30000,1.65481544790774
35000,1.6363011862522763
40000,1.6217870302123618
45000,1.6285294576700327
50000,1.592500348476149
55000,1.596186657285754
60000,1.624896531532781
65000,1.5816714775624847
70000,1.5939858294313898
75000,1.5765232741674984
80000,1.6035612255818203
85000,1.616073944163409
90000,1.585839677536943
95000,1.5755830497179042
100000,1.5954207897578025
105000,1.5842281111188359
110000,1.5692002117619568
115000,1.572684661330578
120000,1.5670315485335569
125000,1.5567278952631698
130000,1.5613642164577324
135000,1.5535629454815325
140000,1.5721965315727437
145000,1.5830469871930142
150000,1.5713666019559287
155000,1.5758909211032701
160000,1.5544309568248271
165000,1.5634175082522206
170000,1.5481367433962205
175000,1.5797003660422888
180000,1.5526378456063106
185000,1.556100577057694
190000,1.5563636751339596
195000,1.5610434091301202
200000,1.538155639529973
205000,1.5505301820550794
210000,1.564080320328986
215000,1.552049480474943
