step,ratio makespan
0,1.8541795356595128
5000,1.8340032914515696
10000,1.786963059747441
15000,1.8732900445923204
20000,1.8845853846447713
25000,1.8289478708114006
30000,1.8741559444132174
35000,1.7809668305333881
40000,1.7571938022865319
45000,1.716856250831529
50000,1.7687199447316209
55000,1.7655992846500548
60000,1.7723963612521687
65000,1.9024886051136378
70000,1.877305384099014
75000,1.8461317951885012
80000,1.8342453089686324
85000,1.8367092248004455
90000,1.8267074510610026
95000,1.823996641698227
100000,1.755545646540506
105000,1.8399071721839375
110000,1.849611484587574
115000,1.744251868061837
120000,1.8561966333836408
125000,1.7089304752700916
130000,1.7617482600593497
135000,1.7156163077050723
140000,1.7500850677270867
145000,1.7778627426710685
150000,1.7827873483546746
155000,1.7898575115686692
160000,1.8205551244537272
165000,1.804542226798732
170000,1.7940955415021869
175000,1.8095663250625125
180000,1.7851865675227097
185000,1.7778189705189122
190000,1.817602641019171
195000,1.882123654283808
200000,1.7840432900199013
205000,1.806694399337876
210000,1.7888044615990544
215000,1.7517444654698209
220000,1.8472435836382142
225000,1.8087014632193354
230000,1.869092565066243
235000,1.8617011031710498
240000,1.779549823850359
245000,1.7801103707292911
250000,1.7739972965712676
255000,1.7861659865261743
260000,1.8327420285725755
265000,1.8436779300354238
270000,1.8216451379618195
275000,1.7668233263138196
280000,1.8976005836974166
285000,1.947900646601972
290000,1.8204201226645225
295000,1.737200930137793
300000,1.7628003084284216
305000,1.7058527083086727
310000,1.6998015448169115
315000,1.7630408154785502
320000,1.7441963185132636
325000,1.7897734868218511
330000,1.7139529938148144
335000,1.6533003070914774
340000,1.7321357477282602
345000,1.7724314771243492
350000,1.7163882709639915
355000,1.682014138838342
360000,1.7253916525959399
365000,1.7088508687666755
370000,1.7265495415289782
375000,1.745753327414873
380000,1.732904451133675
385000,1.742174448022676
390000,1.749362794301678
395000,1.7240611732811075
400000,1.6898400433199778
405000,1.668196328257246
410000,1.7268717239821327
415000,1.6485295032383211
420000,1.7179443269258188
425000,1.6835466052584132
430000,1.6736571955563007
435000,1.7159765727188205
440000,1.6578856157973687
445000,1.626802206099381
450000,1.6751423812312816
455000,1.7029334404928975
460000,1.682884311281806
465000,1.7608773511959357
470000,1.7107904019912707
475000,1.696003739975213
480000,1.6804864059393518
485000,1.7079384380080913
490000,1.7074417477655617
495000,1.6854502955911999
500000,1.7205298990332116
