step,ratio makespan
0,1.5570461544066276
5000,1.55826948902477
10000,1.500308175451295
15000,1.4254471526518786
20000,1.4076438442158343
25000,1.3901010538417655
30000,1.3519070208368698
35000,1.3240706518747511
40000,1.3177653012848605
45000,1.2985124551995662
50000,1.271545973098724
55000,1.2896579350088002
60000,1.2433868440080502
65000,1.2478249371252752
70000,1.236188644235418
75000,1.208530759782313
80000,1.2330776731651032
85000,1.2172949032904499
90000,1.2107054770218952
95000,1.210592362416771
100000,1.204373775258736
105000,1.2079316258467736
110000,1.2056076418851744
115000,1.1946838706065432
120000,1.1823911606108337
125000,1.1831207723171608
130000,1.2167206892556364
135000,1.1844072272371302
140000,1.1948369220857498
145000,1.185762119691982
150000,1.170336872976111
155000,1.1775245998797592
160000,1.184478878989444
165000,1.1838921956378776
170000,1.1921645693235265
175000,1.187438947127037
180000,1.1777740847730729
185000,1.1824157134102125
190000,1.1755729832151118
195000,1.1742751663459803
200000,1.2008321117635028
205000,1.1869415298661008
210000,1.1785268529936908
215000,1.1830436823620636
220000,1.1800459544306448
225000,1.216711187576345
230000,1.1831951308733863
235000,1.1823231188279555
240000,1.184040927092669
245000,1.1886787708848146
250000,1.173920145840877
255000,1.1725683452036775
260000,1.182118534322908
265000,1.190525697443297
270000,1.1822108710937151
275000,1.1847282891158963
280000,1.181746984948636
285000,1.175560155197089
290000,1.1771918178661633
295000,1.1891727062125574
300000,1.1700924885288806
305000,1.1731418861601346
310000,1.1784917030237108
315000,1.1783335424300607
320000,1.1766980800476625
325000,1.1693752002877564
330000,1.1817458005812753
335000,1.1800399283043421
340000,1.1752553741322687
345000,1.1732872381957038
350000,1.1900800167127066
355000,1.16881726741523
360000,1.1888671313666002
365000,1.172121634934786
370000,1.1695416756791692
375000,1.1788805512967817
380000,1.1718566373891974
385000,1.1730057784416223
390000,1.1813669210588664
395000,1.171710472189074
400000,1.175114901417477
405000,1.1860701067659218
410000,1.1723039007984244
415000,1.1673620868234593
420000,1.1755126596571985
425000,1.1765070134911302
430000,1.1761770437921955
435000,1.169253403739666
440000,1.1682838337044055
445000,1.1663186825533798
450000,1.1733517438706897
455000,1.1688801112798926
460000,1.1856662456736207
465000,1.1641532464581341
470000,1.1623870676099939
475000,1.1523312766930118
480000,1.1492116508509862
485000,1.1478106691098162
490000,1.1502936206019776
495000,1.1475254978918124
500000,1.153452619448
