step,ratio makespan
0,1.6015262857107748
5000,1.5021616005515306
10000,1.443869667875778
15000,1.4442643808403621
20000,1.4096680896442293
25000,1.3779984133541416
30000,1.3473878739091936
35000,1.3347817059767197
40000,1.3224392021418168
45000,1.304548901288919
50000,1.2857511510951256
55000,1.270078667457716
60000,1.2149631521727247
65000,1.1985529255259737
70000,1.1709421532832722
75000,1.2057636934484008
80000,1.1721460660306988
85000,1.2162426742162011
90000,1.1860610707001251
95000,1.1818686463693329
100000,1.156412070389365
105000,1.156162052565133
110000,1.1676132824080523
115000,1.1669520145904284
120000,1.199917294434714
125000,1.159182425050691
130000,1.1445622755065437
135000,1.1466304359958486
140000,1.150879561433052
145000,1.197146372914776
150000,1.1829375956198673
155000,1.160911672972988
160000,1.1535140475047005
165000,1.1600508180503848
170000,1.1778421281237526
175000,1.1535782912570196
180000,1.146126093918854
185000,1.1450385944123533
190000,1.1488206320195908
195000,1.146590974668111
200000,1.1568217633276792
205000,1.1878923719958379
210000,1.1627812904200057
215000,1.1489905744880664
220000,1.2184153256234116
225000,1.1504472137885806
230000,1.1502323717131129
235000,1.203079682261075
240000,1.1526293410032564
245000,1.149379747531958
250000,1.156209946920781
255000,1.2383022178443879
260000,1.1517515516420582
265000,1.1498750767607793
270000,1.1434442209792588
275000,1.1501234062497274
280000,1.1527608350093976
285000,1.1513952063052746
290000,1.1682994872498247
295000,1.1483261939024583
300000,1.1433272713127571
305000,1.1559562875948528
310000,1.150220032070551
315000,1.142827709302053
320000,1.1462524939205403
325000,1.1459193908351646
330000,1.1551228100343374
335000,1.1508485552818761
340000,1.1444340041154837
345000,1.1475222161049103
350000,1.15479188883767
355000,1.1552931521402083
