step,ratio makespan
0,1.8617935595839732
5000,1.8031085187980784
10000,1.7306804104713296
15000,1.6346480676733433
20000,1.6202286899837939
25000,1.5431975972221141
30000,1.5160873939798964
35000,1.4374708961208795
40000,1.3369467284504597
45000,1.2330448977842707
50000,1.2123430485676085
55000,1.2931196200686532
60000,1.2463470195688269
65000,1.202201479937984
70000,1.2017480438969275
75000,1.1855224932727702
80000,1.1763140835128765
85000,1.173216211293351
90000,1.1957226747712817
95000,1.1704024855918203
100000,1.201996722152817
105000,1.1836150737662936
110000,1.1834646812848002
115000,1.162537321646685
120000,1.1898147685046447
125000,1.170353824235224
130000,1.1630744613313053
135000,1.1649431455663504
140000,1.1658019541749356
145000,1.164277332414648
150000,1.159818502764871
155000,1.167396846904386
160000,1.157143366398365
165000,1.1614600489422744
170000,1.159270422266745
175000,1.159048981431403
180000,1.169401483326682
