step,ratio makespan
0,1.8419534772217552
5000,1.7525147797355476
10000,1.7615439191986253
15000,1.669600292271913
20000,1.6484778620157514
25000,1.6237788222965142
30000,1.6395901266368795
35000,1.6304649532343796
40000,1.6082334949496397
45000,1.5891192575053252
50000,1.5877802735049926
55000,1.5829757758964689
60000,1.617288072451496
65000,1.5777067382429566
70000,1.585125333036332
75000,1.5854214976412524
80000,1.5667171388263037
85000,1.5613853833531204
90000,1.5542718928608195
95000,1.5948962033431282
100000,1.573238679124267
105000,1.5586500223642654
110000,1.5716014082810534
115000,1.5616275475385872
120000,1.5730213685265868
125000,1.5773333776833272
130000,1.552371569870214
135000,1.5674858196881831
140000,1.5482751731918254
145000,1.5551220657298233
150000,1.5550228637395405
155000,1.5725197512139004
160000,1.5447888243740395
165000,1.5553191478522053
170000,1.5504007314217723
175000,1.529784644096667
180000,1.5375878007501
185000,1.5243532562393982
190000,1.5528814046311032
195000,1.5415964980187205
200000,1.550095484919291
205000,1.5303413984991219
210000,1.5502907669186876
215000,1.5354639248705613
220000,1.5582918066638265
225000,1.5485088729217458
230000,1.5514264441909404
235000,1.5393503654898049
240000,1.5639539962842088
245000,1.5504684744354427
250000,1.5357592584692144
255000,1.530694021247522
260000,1.5480457100720122
265000,1.541956881146858
270000,1.5508743284848436
275000,1.5471466164936476
280000,1.542822151957479
285000,1.5405961062299969
