step,ratio makespan
0,1.8215262857107748
50000,1.7421616005515306
100000,1.643869667875778
150000,1.544264380840362
200000,1.5796680896442292
250000,1.4779984133541415
300000,1.5173878739091935
350000,1.5247817059767197
400000,1.5724392021418168
450000,1.454548901288919
500000,1.4757511510951256
550000,1.490078667457716
600000,1.474963152172725
650000,1.4585529255259737
700000,1.4509421532832723
750000,1.4357636934484008
800000,1.4721460660306989
850000,1.4562426742162011
900000,1.5160610707001252
950000,1.4518686463693329
1000000,1.456412070389365
1050000,1.466162052565133
1100000,1.4676132824080523
1150000,1.4769520145904285
1200000,1.499917294434714
1250000,1.459182425050691
1300000,1.4645622755065435
1350000,1.4466304359958486
1400000,1.450879561433052
1450000,1.457146372914776
1500000,1.4529375956198671
1550000,1.460911672972988
1600000,1.4535140475047004
1650000,1.4600508180503848
1700000,1.4778421281237526
1750000,1.4535782912570197
1800000,1.446126093918854
1850000,1.4450385944123532
1900000,1.4488206320195909
1950000,1.446590974668111
2000000,1.4568217633276792
2050000,1.487892371995838
2100000,1.4627812904200057
2150000,1.4489905744880665
2200000,1.4184153256234115
2250000,1.4504472137885807
2300000,1.4502323717131127
2350000,1.403079682261075
2400000,1.4526293410032565
2450000,1.449379747531958
2500000,1.456209946920781
2550000,1.438302217844388
2600000,1.4517515516420583
2650000,1.449875076760779
2700000,1.4434442209792588
2750000,1.4501234062497275
2800000,1.4527608350093977
2850000,1.4513952063052746
2900000,1.4682994872498247
2950000,1.4483261939024583
3000000,1.3433272713127573
3050000,1.3759562875948528
3100000,1.350220032070551
3150000,1.282827709302053
3200000,1.2562524939205404
3250000,1.2259193908351647
3300000,1.1751228100343374
3350000,1.150848555281876
3400000,1.1444340041154837
3450000,1.1475222161049103
3500000,1.15479188883767
3550000,1.1594936677197976
3600000,1.1475441357098837
3650000,1.1449155512660065
3700000,1.1509267320542855
3750000,1.1541674641606217
3800000,1.1534002671441288
3850000,1.152540414915308
3900000,1.145515608246599
3950000,1.1472901087518148
4000000,1.146836227789968
